BoatName,BoatID,Day,Kg,Duration,Temperature,temperature,chlor_a,geometry
Mason,111,2020-01-12,11492,12,14.5,13.747884999999997,0.85,POINT (89 236)
Mason,111,2020-01-13,10582,12,14.5,14.454830000000015,1.09,POINT (89 235)
Mason,111,2020-01-18,21164,12,13.5,14.988585,0.69,POINT (90 232)
Mason,111,2020-01-19,18980,12,14.0,15.019845000000032,0.57,POINT (90 232)
Mason,111,2020-01-20,16796,12,13.7,15.241665000000012,0.68,POINT (90 232)
Mason,111,2020-01-21,13026,12,13.7,15.956504999999993,0.56,POINT (90 232)
Mason,111,2020-01-22,3094,12,14.3,16.487950000000012,0.48,POINT (90 231)
Mason,111,2020-01-23,22100,12,14.3,14.897784999999999,0.89,POINT (89 235)
Mason,111,2020-01-24,16796,12,12.7,15.43709350000006,0.99,POINT (89 233)
Mason,111,2020-01-25,16796,12,14.8,14.065170000000023,1.2,POINT (89 235)
Mason,111,2020-01-26,18356,12,14.0,14.299810000000036,1.15,POINT (88 235)
Mason,111,2020-01-27,8294,12,14.4,14.17358999999999,1.14,POINT (88 235)
Mason,111,2020-01-28,6188,12,14.7,14.752053000000046,0.73,POINT (89 235)
Mason,111,2020-01-29,22750,12,14.5,14.369880000000023,1.14,POINT (90 236)
Mason,111,2020-02-02,5746,12,15.4,14.862250000000017,0.74,POINT (90 236)
Mason,111,2020-02-03,19188,12,14.8,14.344396500000016,0.77,POINT (88 235)
Mason,111,2020-02-04,18850,12,15.1,15.353556000000026,0.7,POINT (88 234)
Mason,111,2020-02-05,11622,12,15.2,15.111730000000023,0.87,POINT (88 234)
Mason,111,2020-02-06,18850,12,15.5,15.398835500000018,1.13,POINT (88 235)
Mason,111,2020-02-07,18902,12,15.1,14.8481405,1.14,POINT (88 235)
Mason,111,2020-02-08,16094,12,15.1,15.047368000000006,0.77,POINT (88 235)
Mason,111,2020-02-09,21112,12,15.4,15.118670000000009,0.72,POINT (89 235)
Mason,111,2020-02-10,16692,12,15.4,15.308904999999982,0.71,POINT (89 235)
Mason,111,2020-02-11,17602,12,15.8,15.470770000000016,0.65,POINT (89 235)
Mason,111,2020-02-12,12090,12,15.7,16.07200750000004,0.77,POINT (89 235)
Mason,111,2020-02-13,16744,12,15.9,15.994880000000023,0.67,POINT (89 235)
Mason,111,2020-02-14,11544,12,15.8,15.122175000000027,0.86,POINT (88 235)
Mason,111,2020-02-15,13676,12,16.0,15.800650000000019,0.99,POINT (88 234)
Mason,111,2020-02-19,20540,12,16.4,15.35597400000006,0.81,POINT (89 233)
Mason,111,2020-02-22,15730,12,15.4,15.35752500000001,0.99,POINT (89 233)
Mason,111,2020-02-23,16588,12,15.1,15.42953,1.1,POINT (89 233)
Mason,111,2020-02-24,16796,12,15.5,15.379813500000068,1.16,POINT (89 233)
Mason,111,2020-02-25,7592,12,14.9,14.874689999999987,0.75,POINT (89 233)
Mason,111,2020-02-26,7956,12,14.8,15.320078000000024,1.28,POINT (89 233)
Mason,111,2020-02-27,6084,12,16.1,15.573354999999992,0.67,POINT (89 232)
Mason,111,2020-02-28,624,12,16.1,12.355340000000012,1.83,POINT (83 233)
Mason,111,2020-02-29,4082,12,15.3,15.133780000000002,0.89,POINT (88 233)
Mason,111,2020-03-01,2262,12,15.5,15.289989999999989,0.99,POINT (88 233)
Mason,111,2020-03-02,13702,12,16.0,16.305029999999988,0.6,POINT (89 233)
Mason,111,2020-03-05,468,12,17.5,15.864545000000021,1.11,POINT (91 232)
Mason,111,2020-03-06,2080,12,15.9,15.834429999999998,1.11,POINT (89 233)
Mason,111,2020-03-09,156,12,16.4,15.794814999999971,0.79,POINT (89 231)
Mason,111,2020-03-10,1170,12,15.9,15.433650000000057,0.91,POINT (88 233)
Mason,111,2020-03-11,494,12,16.4,16.384410000000003,0.73,POINT (90 233)
Mason,111,2020-03-12,702,12,13.3,14.506502000000012,1.18,POINT (86 236)
Mason,111,2020-03-13,1378,12,11.7,15.805811000000006,1.18,POINT (84 237)
Mason,111,2020-03-14,8034,12,11.8,10.123895000000005,1.68,POINT (83 238)
Mason,111,2020-03-15,4680,12,11.8,11.264665000000036,1.22,POINT (84 237)
Mason,111,2020-03-16,2886,12,11.8,11.169994999999972,1.28,POINT (83 238)
Mason,111,2020-03-20,5668,12,11.4,13.278937499999984,1.03,POINT (84 238)
Mason,111,2020-03-21,9880,12,12.5,13.048122000000035,1.35,POINT (84 238)
Mason,111,2020-03-22,4680,12,12.1,15.787162500000022,1.08,POINT (84 238)
