BoatName,BoatID,Trip,Day,Kg,Duration,Lines,Temperature,Latitude,Longitude
Mason,111,2020-1,2020-01-12,11492,12,60,14.5,-45.1,-62.0
Mason,111,2020-1,2020-01-13,10582,12,60,14.5,-45.0333333333333,-62.1
Mason,111,2020-1,2020-01-18,21164,12,60,13.5,-44.8333333333333,-63.8166666666667
Mason,111,2020-1,2020-01-19,18980,12,60,14.0,-44.8333333333333,-63.8333333333333
Mason,111,2020-1,2020-01-20,16796,12,60,13.7,-44.866666666666696,-63.8166666666667
Mason,111,2020-1,2020-01-21,13026,12,60,13.7,-44.883333333333304,-63.85
Mason,111,2020-1,2020-01-22,3094,12,60,14.3,-44.9333333333333,-64.2166666666667
Mason,111,2020-1,2020-01-23,22100,12,60,14.3,-45.133333333333304,-62.4833333333333
Mason,111,2020-1,2020-01-24,16796,12,60,12.7,-45.3,-63.5
Mason,111,2020-1,2020-01-25,16796,12,60,14.8,-45.45,-62.45
Mason,111,2020-1,2020-01-26,18356,12,60,14.0,-45.9,-62.366666666666696
Mason,111,2020-1,2020-01-27,8294,12,60,14.4,-45.8333333333333,-62.3166666666667
Mason,111,2020-1,2020-01-28,6188,12,60,14.7,-45.116666666666696,-62.2666666666667
Mason,111,2020-1,2020-01-29,22750,12,60,14.5,-45.0,-61.9833333333333
Mason,111,2020-2,2020-02-02,5746,12,60,15.4,-44.866666666666696,-61.8166666666667
Mason,111,2020-2,2020-02-03,19188,12,60,14.8,-45.7,-62.4833333333333
Mason,111,2020-2,2020-02-04,18850,12,60,15.1,-45.7333333333333,-62.5333333333333
Mason,111,2020-2,2020-02-05,11622,12,60,15.2,-45.7333333333333,-62.5166666666667
Mason,111,2020-2,2020-02-06,18850,12,60,15.5,-45.5666666666667,-62.383333333333304
Mason,111,2020-2,2020-02-07,18902,12,60,15.1,-45.55,-62.4166666666667
Mason,111,2020-2,2020-02-08,16094,12,60,15.1,-45.5166666666667,-62.45
Mason,111,2020-2,2020-02-09,21112,12,60,15.4,-45.4666666666667,-62.4166666666667
Mason,111,2020-2,2020-02-10,16692,12,60,15.4,-45.4666666666667,-62.383333333333304
Mason,111,2020-2,2020-02-11,17602,12,60,15.8,-45.4666666666667,-62.4333333333333
Mason,111,2020-2,2020-02-12,12090,12,60,15.7,-45.4833333333333,-62.4
Mason,111,2020-2,2020-02-13,16744,12,60,15.9,-45.4666666666667,-62.4333333333333
Mason,111,2020-2,2020-02-14,11544,12,60,15.8,-45.7,-62.5
Mason,111,2020-2,2020-02-15,13676,12,60,16.0,-45.7166666666667,-62.8
Mason,111,2020-3,2020-02-19,20540,12,60,16.4,-45.1833333333333,-63.05
Mason,111,2020-3,2020-02-22,15730,12,60,15.4,-45.1666666666667,-63.0333333333333
Mason,111,2020-3,2020-02-23,16588,12,60,15.1,-45.4833333333333,-63.2333333333333
Mason,111,2020-3,2020-02-24,16796,12,60,15.5,-45.4,-63.2333333333333
Mason,111,2020-3,2020-02-25,7592,12,60,14.9,-45.3166666666667,-63.2333333333333
Mason,111,2020-3,2020-02-26,7956,12,60,14.8,-45.2166666666667,-63.2
Mason,111,2020-3,2020-02-27,6084,12,60,16.1,-45.0833333333333,-63.866666666666696
Mason,111,2020-3,2020-02-28,624,12,60,16.1,-48.3,-63.0166666666667
Mason,111,2020-3,2020-02-29,4082,12,60,15.3,-45.9166666666667,-63.1
Mason,111,2020-3,2020-03-01,2262,12,60,15.5,-45.9833333333333,-63.116666666666696
Mason,111,2020-3,2020-03-02,13702,12,60,16.0,-45.45,-63.25
Mason,111,2020-4,2020-03-05,468,12,60,17.5,-44.4333333333333,-63.8
Mason,111,2020-4,2020-03-06,2080,12,60,15.9,-45.4333333333333,-63.25
Mason,111,2020-4,2020-03-09,156,12,60,16.4,-45.0833333333333,-64.0333333333333
Mason,111,2020-4,2020-03-10,1170,12,60,15.9,-45.9833333333333,-63.133333333333304
Mason,111,2020-4,2020-03-11,494,12,60,16.4,-44.8333333333333,-63.1666666666667
Mason,111,2020-4,2020-03-12,702,12,60,13.3,-47.0,-61.616666666666696
Mason,111,2020-4,2020-03-13,1378,12,60,11.7,-47.9833333333333,-61.0166666666667
Mason,111,2020-4,2020-03-14,8034,12,60,11.8,-48.2,-61.0
Mason,111,2020-4,2020-03-15,4680,12,60,11.8,-47.95,-61.0333333333333
Mason,111,2020-4,2020-03-16,2886,12,60,11.8,-48.3166666666667,-60.85
Mason,111,2020-4,2020-03-20,5668,12,60,11.4,-47.6666666666667,-60.866666666666696
Mason,111,2020-4,2020-03-21,9880,12,60,12.5,-47.6,-60.85
Mason,111,2020-4,2020-03-22,4680,12,60,12.1,-47.616666666666696,-60.866666666666696
Mason,111,2020-4,2020-03-26,3484,12,60,11.7,-47.5666666666667,-60.8333333333333
Mason,111,2020-4,2020-03-28,1560,7,60,12.6,-44.6833333333333,-60.1
Mason,111,2020-4,2020-03-30,2522,12,60,12.8,-44.2,-59.9
Mason,111,2020-4,2020-03-31,23530,12,60,12.5,-44.5166666666667,-60.133333333333304
Mason,111,2020-4,2020-04-01,4680,12,60,13.1,-44.383333333333304,-59.883333333333304
Mason,111,2020-4,2020-04-03,23660,12,60,12.6,-42.433333333333294,-58.5666666666667
Mason,111,2020-4,2020-04-04,12012,12,60,13.8,-42.283333333333296,-58.4166666666667
Mason,111,2020-4,2020-04-05,25194,12,60,12.8,-41.8666666666667,-57.883333333333304
